,address,asked_price,coordinate,final_price,pourcentage_difference,land_area,area,commune,price_per_area,rooms,sale_date,supplemental_area
43.2,Höckertsvägen 9,16750000.0,"[59.341278719, 17.8942682459]",16750000,0.0,637.0,138.0,"Södra Ängby, Stockholms kommun",121377.0,7.0,Såld 2022-05-25,70.0
44.2,Ambravägen 18,8200000.0,"[59.3562402167, 17.90551804]",8200000,0.0,151.0,115.0,"Beckomberga, Stockholms kommun",71304.0,5.0,Såld 2022-05-25,0.0
45.2,Granåsbacken 5,9475000.0,"[59.36958011848556, 17.906779139898276]",9500000,0.0,839.0,151.0,"Spånga Flysta, Stockholms kommun",62914.0,10.0,Såld 2022-05-25,95.0
46.2,Svalvägen 9,8250000.0,"[59.26927062264718, 17.9574469341855]",9500000,15.0,1252.0,131.0,"Segeltorp, Huddinge kommun",72519.0,6.0,Såld 2022-05-25,69.0
47.2,Amatörvägen 46,7495000.0,"[59.2683874168, 18.0914856939]",7595000,1.0,452.0,74.0,"Tallkrogen, Stockholms kommun",102635.0,5.0,Såld 2022-05-25,53.0
48.2,Frösövägen 25,8950000.0,"[59.2627068, 17.9758854]",9750000,9.0,1006.0,150.0,"Snättringe/Långsjön, Huddinge kommun",65000.0,5.0,Såld 2022-05-25,20.0
49.2,Lupinvägen 6,6995000.0,"[59.37217060619865, 17.830341726642597]",7800000,12.0,670.0,120.0,"Hässelby Södra Villastad, Stockholms kommun",65000.0,6.0,Såld 2022-05-25,130.0
0.3,Kårebacken 6,6750000.0,"[59.38711, 17.8945465]",8450000,25.0,669.0,141.0,"Spånga - Solhöjden, Stockholms kommun",59929.0,5.0,Såld 2022-05-25,435.0
1.3,Kaprifolvägen 22,5995000.0,"[59.3725739, 17.8313637]",6075000,1.0,716.0,139.0,"Hässelby Södra Villastad, Stockholms kommun",43705.0,5.0,Såld 2022-05-25,75.0
2.3,Solhemsbackarna 198B,7500000.0,"[59.38945, 17.8898315]",8100000,8.0,681.0,108.0,"Spånga - Solhem, Stockholms kommun",75000.0,8.0,Såld 2022-05-25,60.0
3.3,Gullvivegränd 26,5475000.0,"[59.3855171, 17.8135376]",5800000,6.0,611.0,129.0,"Hässelby - Norra Villastad, Stockholms kommun",44961.0,5.0,Såld 2022-05-25,11.0
4.3,Tryffelgränd 7,9495000.0,"[59.2775278645, 18.0893561305]",9940000,5.0,574.0,84.0,"Gamla Enskede, Stockholms kommun",118333.0,5.0,Såld 2022-05-25,43.0
5.3,Skattegränd 4B,6495000.0,"[59.3725662, 17.9291229]",6650000,2.0,663.0,119.0,"Spånga Bromsten, Stockholms kommun",55882.0,5.0,Såld 2022-05-24,0.0
6.3,Skallgångsbacken 27,9500000.0,"[59.3769836, 17.88611]",9600000,1.0,1152.0,144.0,"Solhem, Stockholms kommun",66667.0,6.0,Såld 2022-05-24,20.0
7.3,Kaprifolvägen 35,7395000.0,"[59.37371, 17.8279743]",7900000,7.0,652.0,196.0,"Hässelby Södra Villastad, Stockholms kommun",40306.0,7.0,Såld 2022-05-24,22.0
8.3,Berghamnsbrinken 1,8975000.0,"[59.3731956, 17.810003299999998]",9750000,9.0,877.0,149.0,"Hässelby Södra Villastad, Stockholms kommun",65436.0,8.0,Såld 2022-05-24,149.0
9.3,Hjortsbergsvägen 56,9495000.0,"[59.30345, 17.97035]",11750000,24.0,887.0,108.0,"Hägersten, Stockholms kommun",108796.0,4.0,Såld 2022-05-24,77.0
10.3,Skälbyvägen 4 /  Fasanvägen 1,5195000.0,"[59.4026947, 17.8633633]",6800000,31.0,1237.0,90.0,"Barkarby, Järfälla kommun",75556.0,5.0,Såld 2022-05-23,90.0
11.3,Bultvägen 38,9995000.0,"[59.2929039, 17.9931736]",10500000,5.0,555.0,66.0,"Hökmossen/Telefonplan, Stockholms kommun",159091.0,5.0,Såld 2022-05-21,83.0
12.3,Mälsåkersvägen 10,10750000.0,"[59.28153458944504, 18.027666990358988]",12975000,21.0,1295.0,276.0,"Älvsjö - Örby slott, Stockholms kommun",47011.0,8.0,Såld 2022-05-21,70.0
13.3,Sandviksvägen 97,4795000.0,"[59.37342, 17.81561]",5300000,11.0,601.0,103.0,"Hässelby Södra Villastad, Stockholms kommun",51456.0,4.0,Såld 2022-05-20,0.0
14.3,Småstuguvägen 2,5950000.0,"[59.3798141, 17.80274]",6100000,3.0,364.0,135.0,"Hässelby Södra Villastad, Stockholms kommun",45185.0,7.0,Såld 2022-05-20,67.0
15.3,Urbergsvägen 5,5995000.0,"[59.255860297720524, 17.984338681746266]",6045000,1.0,1059.0,83.0,"Centrala Stuvsta, Huddinge kommun",72831.0,4.0,Såld 2022-05-20,80.0
16.3,Lievägen 25,8495000.0,"[59.28328489564152, 17.986535013273475]",10170000,20.0,749.0,101.0,"Älvsjö - Långbro, Stockholms kommun",100693.0,4.0,Såld 2022-05-20,41.0
17.3,Fiskarfjärdsstranden 11,6990000.0,"[59.28148, 17.8759975]",7600000,9.0,1034.0,145.0,"Johannesdal, Stockholms kommun",52414.0,6.0,Såld 2022-05-19,15.0
18.3,Amaryllisvägen 9A,6495000.0,"[59.2441059917717, 18.200814281328526]",7450000,15.0,1797.0,293.0,"Lindalen, Tyresö kommun",25427.0,10.0,Såld 2022-05-19,0.0
19.3,Segersminnevägen 21A,8695000.0,"[59.25509421646787, 18.00313649409909]",9000000,4.0,707.0,205.0,"Huddinge - Stuvsta, Huddinge kommun",43902.0,7.0,Såld 2022-05-19,21.0
20.3,Örhängevägen 22,8000000.0,"[59.287674244752296, 17.988781584909045]",8000000,0.0,577.0,69.0,"Hägersten, Stockholms kommun",115942.0,6.0,Såld 2022-05-19,69.0
21.3,Rågångsvägen 18A,10950000.0,"[59.3833656, 17.9223022]",10300000,6.0,601.0,200.0,"Spånga Bromsten, Stockholms kommun",51500.0,12.0,Såld 2022-05-19,100.0
22.3,Tolvmansvägen 10,9250000.0,"[59.2592127495, 17.9931102475]",10450000,13.0,1330.0,170.0,"Stuvsta, Huddinge kommun",61471.0,5.0,Såld 2022-05-19,44.0
23.3,Krokvägen 64,15450000.0,"[59.2786934, 18.0901566]",17350000,12.0,512.0,143.0,"Gamla Enskede, Stockholms kommun",121329.0,6.0,Såld 2022-05-19,84.0
24.3,Ferievägen 65,28000000.0,"[59.333918401484304, 17.90198898730376]",25000000,11.0,774.0,375.0,"Bromma, Stockholms kommun",66667.0,11.0,Såld 2022-05-19,24.0
25.3,Sjöhällsstigen 15,9975000.0,"[59.3684794985, 17.8119868078]",9975000,0.0,915.0,195.0,"Hässelby Södra Villastad, Stockholms kommun",51154.0,8.0,Såld 2022-05-18,35.0
26.3,Lammholmsbacken 115,4490000.0,"[59.2685051, 17.8941288]",4800000,7.0,420.0,113.0,"Skärholmen, Stockholms kommun",42478.0,5.0,Såld 2022-05-18,19.0
27.3,Ramsundsvägen 6,9950000.0,"[59.3536644, 17.8984833]",10000000,1.0,482.0,100.0,"Bromma - Norra Ängby, Stockholms kommun",100000.0,7.0,Såld 2022-05-18,107.0
28.3,Nåsvägen 32,21500000.0,"[59.3254166, 17.9254189]",21700000,1.0,564.0,173.0,"Bromma - Nockeby, Stockholms kommun",125434.0,7.0,Såld 2022-05-18,81.0
29.3,Stjärnvägen 9B,7495000.0,"[59.234817669806446, 18.206367489276438]",8500000,13.0,904.0,153.0,"Hanviken, Tyresö kommun",55556.0,7.0,Såld 2022-05-18,0.0
30.3,Blåsippsdalen 18,8495000.0,"[59.233069218589215, 18.146440097801836]",9850000,16.0,10057.0,194.0,"Sjöängen/Trångsund, Huddinge kommun",50773.0,7.0,Såld 2022-05-18,0.0
31.3,Lillskogsvägen 3,6950000.0,"[59.2575722, 17.9957924]",7100000,2.0,602.0,112.0,"Stuvsta, Huddinge kommun",63393.0,6.0,Såld 2022-05-18,112.0
32.3,Konvaljebacken 4B,7875000.0,"[59.23450769191731, 18.15361056962073]",8000000,2.0,1267.0,180.0,"Trångsund, Huddinge kommun",44444.0,5.0,Såld 2022-05-18,5.0
33.3,Strids väg 4,6995000.0,"[59.2392088497, 18.0380077128]",8765000,25.0,1569.0,153.0,"Högmora, Huddinge kommun",57288.0,6.0,Såld 2022-05-17,0.0
34.3,Vretvägen 13,5795000.0,"[59.22505189243423, 18.203106211642318]",5900000,2.0,1714.0,97.0,"Trollbäcken, Tyresö kommun",60825.0,8.0,Såld 2022-05-17,98.0
35.3,Fasanvägen 11B,9975000.0,"[59.266311911284205, 17.955492955763294]",10900000,9.0,1015.0,171.0,"Segeltorp, Huddinge kommun",63743.0,6.0,Såld 2022-05-17,4.0
36.3,Viktoriavägen 8A,12250000.0,"[59.2762976354, 17.9961359333]",15200000,24.0,823.0,185.0,"Älvsjö/Långbro, Stockholms kommun",82162.0,8.0,Såld 2022-05-16,60.0
37.3,Parkvägen 28,6795000.0,"[59.2238731, 18.1871338]",7000000,3.0,579.0,145.0,"Fornudden-Persudde, Tyresö kommun",48276.0,6.0,Såld 2022-05-16,0.0
38.3,Sandviksvägen 14,5775000.0,"[59.36811822165159, 17.822508106108636]",5775000,0.0,662.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",49359.0,4.0,Såld 2022-05-16,0.0
39.3,Ugglemossvägen 32,15000000.0,"[59.2990049329, 17.9485470601]",15000000,0.0,978.0,115.0,"Mälarhöjden, Stockholms kommun",130435.0,5.0,Såld 2022-05-14,50.0
40.3,Mickelsbersbergsvägen 256,10600000.0,"[59.27756347575546, 17.95453373894499]",10600000,0.0,830.0,125.0,"Herrängen - Segeltorp, Huddinge kommun",84800.0,6.0,Såld 2022-05-14,125.0
41.3,Sidensvansvägen 5,7850000.0,"[59.27459, 17.975113]",8900000,13.0,585.0,70.0,"Älvsjö/Herrängen, Stockholms kommun",127143.0,5.0,Såld 2022-05-13,70.0
42.3,Malmvägen 12B,7695000.0,"[59.24859372780327, 18.206774419963434]",8670000,13.0,1299.0,131.0,"Lindalen, Tyresö kommun",66183.0,5.0,Såld 2022-05-13,38.0
43.3,Tjädervägen 32,21900000.0,"[59.3246841, 17.9484825]",21100000,4.0,706.0,158.0,"Bromma - Ålsten, Stockholms kommun",133544.0,7.0,Såld 2022-05-13,79.0
44.3,Ollonborrestigen 3,10750000.0,"[59.26665698, 17.9837563683]",11825000,10.0,970.0,164.0,"Älvsjö/Långsjö, Stockholms kommun",72104.0,8.0,Såld 2022-05-13,60.0
45.3,Älta Strandväg 56,10995000.0,"[59.2683258, 18.1686783]",11025000,0.0,944.0,198.0,"Kolarängen - Älta Strandväg, Nacka kommun",55682.0,6.0,Såld 2022-05-13,12.0
46.3,Odonbacken 15,7875000.0,"[59.23072634341232, 18.15685609635108]",9025000,15.0,12444.0,158.0,"Sjöängen/Trångsund, Huddinge kommun",57120.0,7.0,Såld 2022-05-13,24.0
47.3,Björnmossvägen 8,9495000.0,"[59.26238, 18.18663]",11550000,22.0,761.0,157.0,"Centrala Älta, Nacka kommun",73567.0,7.0,Såld 2022-05-13,55.0
48.3,Orrspelsvägen 2B,22950000.0,"[59.37991405581464, 18.05891165364015]",24000000,5.0,730.0,200.0,"Stocksund, Danderyds kommun",120000.0,8.0,Såld 2022-05-13,35.0
49.3,Herserudsvägen 75,21750000.0,"[59.35737450616577, 18.13349751924691]",20000000,8.0,1502.0,265.0,"Herserud, Lidingö kommun",75472.0,8.0,Såld 2022-05-13,85.0
0.4,Islandsvägen 30,8495000.0,"[59.3480126153, 17.8926886001]",8400000,1.0,426.0,78.0,"Norra Ängby, Stockholms kommun",107692.0,6.0,Såld 2022-05-12,78.0
1.4,Limonitvägen 27,8800000.0,"[59.3581028406, 17.9072555895]",8800000,0.0,208.0,122.0,"Beckomberga, Stockholms kommun",72131.0,5.0,Såld 2022-05-12,0.0
2.4,Murgrönsvägen 29,6195000.0,"[59.276628544346885, 17.96710841936087]",7150000,15.0,594.0,110.0,"Herrängen, Stockholms kommun",65000.0,4.0,Såld 2022-05-12,25.0
3.4,Österskogsstigen 1,8795000.0,"[59.246395726518976, 18.015129670450936]",10800000,23.0,1117.0,133.0,"Stuvsta, Huddinge kommun",81203.0,8.0,Såld 2022-05-12,60.0
4.4,Nybyggarvägen 8,8250000.0,"[59.2483965126745, 18.01685384629669]",9500000,15.0,1198.0,115.0,"Stensängen, Huddinge kommun",82609.0,7.0,Såld 2022-05-12,50.0
5.4,Skogsvägen 37,15250000.0,"[59.2791707120075, 18.088707843512797]",16150000,6.0,749.0,134.0,"Gamla Enskede, Stockholms kommun",120522.0,6.0,Såld 2022-05-12,56.0
6.4,Pirogvägen 13,7195000.0,"[59.25376164854126, 18.104846973091956]",7880000,10.0,552.0,84.0,"Sköndal, Stockholms kommun",93810.0,6.0,Såld 2022-05-12,84.0
7.4,Nysätravägen 40B,15750000.0,"[59.30212, 18.1362286]",15750000,0.0,881.0,86.0,"Nysätra, Nacka kommun",183140.0,5.0,Såld 2022-05-12,84.0
8.4,Lupinvägen 1,6450000.0,"[59.37117, 17.83115]",6500000,1.0,643.0,182.0,"Hässelby Södra Villastad, Stockholms kommun",35714.0,,Såld 2022-05-12,24.0
9.4,Munksundsgatan 2,15495000.0,"[59.2792997371, 18.0588633381]",14750000,5.0,928.0,127.0,"Stureby, Stockholms kommun",116142.0,7.0,Såld 2022-05-12,82.0
10.4,Flystaslingan 22,6550000.0,"[59.36853, 17.898183799999998]",6550000,0.0,903.0,106.0,"Spånga Flysta, Stockholms kommun",61792.0,5.0,Såld 2022-05-12,100.0
11.4,Stackvägen 32b,9950000.0,"[59.4230992435, 17.9340171605]",10000000,1.0,976.0,124.0,"Töjnan, Sollentuna kommun",80645.0,8.0,Såld 2022-05-12,124.0
12.4,Trädgårdsvägen 21,7900000.0,"[59.42631, 17.9265881]",7700000,3.0,1302.0,106.0,"Töjnan, Sollentuna kommun",72642.0,6.0,Såld 2022-05-12,78.0
13.4,Poppelvägen 5,8650000.0,"[59.3963623, 17.8665428]",9200000,6.0,838.0,183.0,"Barkarby, Järfälla kommun",50273.0,5.0,Såld 2022-05-12,7.0
14.4,Barnhemsvägen 104,5495000.0,"[59.3827203752935, 17.8116935643947]",6445000,17.0,632.0,168.0,"Hässelby - Backlura, Stockholms kommun",38363.0,5.0,Såld 2022-05-12,0.0
15.4,Arrendevägen 48,8495000.0,"[59.384285, 17.9477959]",9275000,9.0,344.0,139.0,"Ursvik, Sundbybergs kommun",66727.0,5.0,Såld 2022-05-11,0.0
16.4,Björkvägen 5,11950000.0,"[59.41675, 17.9539452]",14500000,21.0,1596.0,160.0,"Helenelund, Sollentuna kommun",90625.0,8.0,Såld 2022-05-11,77.0
17.4,Duvvägen 3,7975000.0,"[59.2661972, 17.9566574]",8300000,4.0,972.0,170.0,"Segeltorp, Huddinge kommun",48824.0,5.0,Såld 2022-05-11,19.0
18.4,Björkallén 10A,8975000.0,"[59.22978260958082, 18.120350033043486]",9200000,3.0,806.0,150.0,"Trångsund, Huddinge kommun",61333.0,6.0,Såld 2022-05-11,0.0
19.4,Rymdvägen 13,3695000.0,"[59.3821869, 17.8334122]",3500000,5.0,200.0,92.0,"Skälby, Järfälla kommun",38043.0,4.0,Såld 2022-05-11,0.0
20.4,Vivstavarvsvägen 224,17750000.0,"[59.2803268, 18.0528183]",22250000,25.0,1003.0,304.0,"Stureby, Stockholms kommun",73191.0,7.0,Såld 2022-05-11,106.0
21.4,Alstersvägen 25,13450000.0,"[59.33533, 17.9216557]",13500000,0.0,497.0,82.0,"Bromma Nockebyhov, Stockholms kommun",164634.0,8.0,Såld 2022-05-11,63.0
22.4,Vretvägen 6A,15000000.0,"[59.3544079445, 17.9123650159]",15000000,0.0,736.0,159.0,"Bromma Kyrka, Stockholms kommun",94340.0,7.0,Såld 2022-05-10,94.0
23.4,Ältavägen 199,6995000.0,"[59.2591, 18.1847763]",7150000,2.0,1452.0,104.0,"Älta - Älta Gård, Nacka kommun",68750.0,8.0,Såld 2022-05-10,100.0
24.4,Ripsavägen 3A,10495000.0,"[59.269835245993896, 18.02543233376091]",14800000,41.0,870.0,266.0,"Örby - Älvsjö, Stockholms kommun",55639.0,8.0,Såld 2022-05-10,43.0
25.4,Gustaf Lundbergs väg 7,20500000.0,"[59.33912277858042, 17.89828204416382]",26000000,27.0,637.0,197.0,"Södra Ängby, Stockholms kommun",131980.0,11.0,Såld 2022-05-10,96.0
26.4,Aspvägen 11,13000000.0,"[59.3933741993, 17.8643009467]",14700000,13.0,2276.0,713.0,"Skälby, Järfälla kommun",20617.0,10.0,Såld 2022-05-09,0.0
27.4,Mörkövägen 50,7250000.0,"[59.27158, 18.0777931]",6950000,4.0,599.0,69.0,"Tallkrogen, Stockholms kommun",100725.0,4.0,Såld 2022-05-09,67.0
28.4,Skrattmåsvägen 17,5250000.0,"[59.2503052, 18.0504456]",6450000,23.0,341.0,118.0,"Fagersjö, Stockholms kommun",54661.0,5.0,Såld 2022-05-09,12.0
29.4,Penningvägen 5A,8495000.0,"[59.393137907736836, 17.855202954118795]",8550000,1.0,717.0,173.0,"Skälby, Järfälla kommun",49422.0,5.0,Såld 2022-05-08,53.0
30.4,Frans Hedbergsvägen 8,12695000.0,"[59.3002355234, 17.9734559838]",15450000,22.0,611.0,170.0,"Mälarhöjden, Stockholms kommun",90882.0,10.0,Såld 2022-05-07,50.0
31.4,Tistelvägen 24C,8800000.0,"[59.4307556, 17.9353447]",9100000,3.0,800.0,153.0,"Tureberg, Sollentuna kommun",59477.0,7.0,Såld 2022-05-07,32.0
32.4,Vinstavägen 69,7775000.0,"[59.375164, 17.8720837]",7350000,5.0,694.0,141.0,"Vällingby - Nälsta, Stockholms kommun",52128.0,6.0,Såld 2022-05-07,101.0
33.4,Arbrågatan 3,9950000.0,"[59.3694572, 17.869976]",11200000,13.0,797.0,130.0,"Vällingbyhöjden, Stockholms kommun",86154.0,5.0,Såld 2022-05-07,81.0
34.4,Årdalavägen 132,7250000.0,"[59.27227070252709, 18.036456092989933]",8000000,10.0,511.0,114.0,"Örby, Stockholms kommun",70175.0,5.0,Såld 2022-05-06,54.0
35.4,Björkhagsvägen 29,16500000.0,"[59.3709869, 17.95167]",20500000,24.0,823.0,196.0,"Duvbo, Sundbybergs kommun",104592.0,8.0,Såld 2022-05-06,133.0
36.4,Inspektorsbacken 40,7175000.0,"[59.37387821666183, 17.87687426203048]",8350000,16.0,595.0,112.0,"Vällingby Nälsta, Stockholms kommun",74554.0,5.0,Såld 2022-05-06,62.0
37.4,Kälvestavägen 113,9275000.0,"[59.384516481104335, 17.884631073201433]",10025000,8.0,975.0,172.0,"Spånga Solhem, Stockholms kommun",58285.0,9.0,Såld 2022-05-06,67.0
38.4,Egilsvägen 9,13900000.0,"[59.3448753, 17.91574]",16000000,15.0,447.0,142.0,"Bromma - Norra Ängby, Stockholms kommun",112676.0,8.0,Såld 2022-05-06,70.0
39.4,Lemmings väg 67,5995000.0,"[59.2638342139, 18.0972161569]",6600000,10.0,538.0,69.0,"Gubbängen - Enskede, Stockholms kommun",95652.0,5.0,Såld 2022-05-06,69.0
40.4,Ångermannagatan 69,6795000.0,"[59.3625145, 17.8856468]",7430000,9.0,539.0,65.0,"Vällingby - Råcksta, Stockholms kommun",114308.0,5.0,Såld 2022-05-06,65.0
41.4,Vivelvägen 135,7200000.0,"[59.28548000410326, 17.978545013561284]",7200000,0.0,675.0,77.0,"Älvsjö, Stockholms kommun",93506.0,5.0,Såld 2022-05-05,77.0
42.4,Trollsländevägen 5,6995000.0,"[59.2834343706, 17.9823684583]",7275000,4.0,645.0,68.0,"Älvsjö/Långbro, Stockholms kommun",106985.0,5.0,Såld 2022-05-05,68.0
43.4,Carl Larssons väg 55,11900000.0,"[59.3429832, 17.89115]",13270000,12.0,547.0,79.0,"Bromma Södra Ängby, Stockholms kommun",167975.0,8.0,Såld 2022-05-05,79.0
44.4,Skogsbrynsvägen 8,8950000.0,"[59.25401982339211, 18.00561072283915]",11050000,23.0,1076.0,182.0,"Huddinge - Stuvsta, Huddinge kommun",60714.0,6.0,Såld 2022-05-05,50.0
45.4,Skalkvägen 2,6995000.0,"[59.25782, 18.106182]",6800000,3.0,647.0,66.0,"Sköndal, Stockholms kommun",103030.0,5.0,Såld 2022-05-04,79.0
46.4,Västerled 166,10850000.0,"[59.329204674, 17.9426713521]",10850000,0.0,573.0,129.0,"Olovslund, Stockholms kommun",84109.0,6.0,Såld 2022-05-04,29.0
47.4,Gråbergsvägen 21,5750000.0,"[59.2534272936, 17.9863945383]",7450000,30.0,1058.0,80.0,"Stuvsta, Huddinge kommun",93125.0,5.0,Såld 2022-05-04,80.0
48.4,Lillängsgatan 48,11500000.0,"[59.35692, 17.9277744]",11000000,4.0,973.0,122.0,"Bromma Kyrka, Stockholms kommun",90164.0,8.0,Såld 2022-05-04,100.0
49.4,Skattetorpsvägen 13,8550000.0,"[59.38498, 17.9504719]",9800000,15.0,396.0,150.0,"Stora Ursvik, Sundbybergs kommun",65333.0,5.0,Såld 2022-05-04,0.0
0.5,Aspvägen 12B,8900000.0,"[59.41437004487267, 17.94719243827858]",8900000,0.0,1399.0,159.0,"Helenelund/Fågelsången, Sollentuna kommun",55975.0,6.0,Såld 2022-05-04,16.0
1.5,Fiskebyvägen 14,9900000.0,"[59.26984373988619, 18.06335373523028]",11700000,18.0,1124.0,121.0,"Enskede - Stureby, Stockholms kommun",96694.0,5.0,Såld 2022-05-04,37.0
2.5,Pastorsvägen 3,11000000.0,"[59.35929233157079, 17.948104459392432]",11200000,2.0,661.0,130.0,"Mariehäll, Stockholms kommun",86154.0,7.0,Såld 2022-05-04,66.0
3.5,Blåklocksvägen 15,4995000.0,"[59.3677921421, 17.8191822371]",4900000,2.0,776.0,,"Hässelby Södra Villastad, Stockholms kommun",,,Såld 2022-05-03,0.0
4.5,Tjädervägen 14,11500000.0,"[59.2676659, 17.9547672]",11500000,0.0,1470.0,185.0,"Segeltorp/Långsjön, Huddinge kommun",62162.0,5.0,Såld 2022-05-03,57.0
5.5,Alholmsbacken 1,4970000.0,"[59.28117, 17.89982]",5700000,15.0,583.0,150.0,"Skärholmen, Stockholms kommun",38000.0,6.0,Såld 2022-05-03,93.0
6.5,Logvägen 14,9150000.0,"[59.37464, 17.9055786]",10550000,15.0,1311.0,162.0,"Spånga, Stockholms kommun",65123.0,7.0,Såld 2022-05-03,30.0
7.5,Kulstötarvägen 54,7950000.0,"[59.26819269606366, 18.092872400602413]",8250000,4.0,499.0,67.0,"Tallkrogen, Stockholms kommun",123134.0,6.0,Såld 2022-05-03,43.0
8.5,Sandemarsvägen 15,8500000.0,"[59.27012290317611, 18.080302229702074]",9300000,9.0,514.0,66.0,"Tallkrogen, Stockholms kommun",140909.0,5.0,Såld 2022-05-02,94.0
9.5,Norra vägen 1,6490000.0,"[59.38486, 17.9217033]",6680000,3.0,902.0,83.0,"Spånga - Bromsten, Stockholms kommun",80482.0,6.0,Såld 2022-05-01,84.0
10.5,Stafettvägen 10,7395000.0,"[59.264454059948115, 18.094393826859324]",8375000,13.0,496.0,68.0,"Enskede - Tallkrogen, Stockholms kommun",123162.0,5.0,Såld 2022-05-01,64.0
11.5,Rapphönsvägen 33,10495000.0,"[59.2725204666, 18.0847028907]",10650000,1.0,468.0,90.0,"Tallkrogen, Stockholms kommun",118333.0,7.0,Såld 2022-04-30,83.0
12.5,Solrosvägen 80,9500000.0,"[59.2795268447, 17.9634276824]",11200000,18.0,903.0,102.0,"Älvsjö/Herrängen, Stockholms kommun",109804.0,5.0,Såld 2022-04-30,103.0
13.5,Tröskverksvägen 7,6495000.0,"[59.2806168, 17.99884]",7060000,9.0,648.0,68.0,"Älvsjö, Stockholms kommun",103824.0,3.0,Såld 2022-04-29,100.0
14.5,Virginiavägen 7,11700000.0,"[59.2972565, 17.9681568]",12600000,8.0,787.0,130.0,"Mälarhöjden, Stockholms kommun",96923.0,7.0,Såld 2022-04-29,34.0
15.5,Gränsvägen 53,8475000.0,"[59.24867, 18.2057114]",8300000,2.0,872.0,195.0,"Lindalen, Tyresö kommun",42564.0,7.0,Såld 2022-04-29,25.0
16.5,Torvmossevägen 6,11995000.0,"[59.26621, 18.17894]",14000000,17.0,1117.0,180.0,"Älta - Kolarängen, Nacka kommun",77778.0,7.0,Såld 2022-04-29,75.0
17.5,Frösövägen 21,5950000.0,"[59.2623138, 17.97635]",6650000,12.0,1002.0,68.0,"Snättringe, Huddinge kommun",97794.0,5.0,Såld 2022-04-29,63.0
18.5,Alströmervägen 4B,9500000.0,"[59.4187102755, 17.9444718361]",9700000,2.0,9443.0,137.0,"Fågelsången, Sollentuna kommun",70803.0,7.0,Såld 2022-04-28,60.0
19.5,Lappstigen 16,8995000.0,"[59.3784133059, 17.7980965317]",9900000,10.0,911.0,112.0,"Hässelby Södra Villastad, Stockholms kommun",88393.0,6.0,Såld 2022-04-28,80.0
20.5,Persuddevägen 24,9995000.0,"[59.2272644, 18.186285]",10200000,2.0,1082.0,250.0,"Fornudden-Persudde, Tyresö kommun",40800.0,8.0,Såld 2022-04-28,146.0
21.5,Ripvägen 13,7490000.0,"[59.3999062, 17.8588676]",9150000,22.0,705.0,152.0,"Barkarby, Järfälla kommun",60197.0,7.0,Såld 2022-04-28,0.0
22.5,Tjädervägen 36B,7900000.0,"[59.2680439, 17.9462037]",8525000,8.0,1420.0,143.0,"Segeltorp, Huddinge kommun",59615.0,6.0,Såld 2022-04-28,0.0
23.5,Bägerstavägen 34,17000000.0,"[59.29083835917259, 18.067753758950875]",17000000,0.0,690.0,175.0,"Enskede Gård, Stockholms kommun",97143.0,7.0,Såld 2022-04-28,85.0
24.5,Sandstensvägen 31,13500000.0,"[59.32787, 17.9473152]",13900000,3.0,510.0,90.0,"Bromma - Ålsten, Stockholms kommun",154444.0,6.0,Såld 2022-04-28,88.0
25.5,Berghamnsvägen 53,11995000.0,"[59.37346239592305, 17.81121208088418]",11850000,1.0,836.0,232.0,"Hässelby Södra Villastad, Stockholms kommun",51078.0,8.0,Såld 2022-04-28,55.0
26.5,Lyrvägen 1A,7495000.0,"[59.24556, 18.2016926]",8575000,14.0,967.0,210.0,"Lindalen, Tyresö kommun",40833.0,7.0,Såld 2022-04-28,29.0
27.5,Blåklintsvägen 20A,6450000.0,"[59.2305745769873, 18.14435666159498]",6970000,8.0,1140.0,135.0,"Trångsund , Huddinge kommun",51630.0,5.0,Såld 2022-04-28,4.0
28.5,Ultunavägen 32,12995000.0,"[59.3452581639584, 17.9029659204418]",13400000,3.0,484.0,108.0,"Norra Ängby, Stockholms kommun",124074.0,6.0,Såld 2022-04-28,55.0
29.5,Edelcrantzvägen 17,11500000.0,"[59.3007115492, 17.975432498700002]",16500000,43.0,628.0,160.0,"Mälarhöjden, Stockholms kommun",103125.0,6.0,Såld 2022-04-27,28.0
30.5,Skovelvägen 18,6995000.0,"[59.2850761, 17.9781017]",8400000,20.0,671.0,105.0,"Älvsjö - Långbro, Stockholms kommun",80000.0,7.0,Såld 2022-04-27,68.0
31.5,Järflottavägen 32,7800000.0,"[59.265235890153, 18.02784510835353]",7800000,0.0,661.0,99.0,"Örby, Stockholms kommun",78788.0,6.0,Såld 2022-04-27,90.0
32.5,Bullerholmsgränd 79,5990000.0,"[59.27992, 17.890705099999998]",6500000,9.0,205.0,138.0,"Skärholmen, Stockholms kommun",47101.0,8.0,Såld 2022-04-27,60.0
33.5,Dvärglinsgränd 21,6475000.0,"[59.39174, 17.8238049]",7000000,8.0,469.0,138.0,"Hässelby Norra Villastad, Stockholms kommun",50725.0,5.0,Såld 2022-04-27,0.0
34.5,Hyltevägen 4,12500000.0,"[59.27550605906808, 18.0549080666674]",15000000,20.0,600.0,140.0,"Enskede - Stureby, Stockholms kommun",107143.0,6.0,Såld 2022-04-27,70.0
